Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
D1,Long,USD/JPY,3537685,1,2012-10-31 14:00,2012-11-19 23:00,79.8820,81.3320,10.62,0.00,Reverse
H1,Short,SPX500,3568393,1,2012-11-19 18:00,2012-11-19 23:00,1381.60,1383.40,-1.57,0.00,Reverse
H4,Long,EUR/USD,3565285,1,2012-11-16 08:00,2012-11-20 03:00,1.27572,1.27886,3.14,0.00,Reverse
H1,Short,USD/JPY,3568594,1,2012-11-19 20:00,2012-11-20 06:00,81.3510,81.2710,0.59,0.00,Reverse
H1,Long,EUR/USD,3568092,1,2012-11-19 15:00,2012-11-20 13:00,1.27866,1.28011,1.45,0.00,Reverse
H1,Long,USD/JPY,3569598,1,2012-11-20 06:00,2012-11-20 14:00,81.2710,81.6260,2.60,0.00,Reverse
H1,Long,SPX500,3568896,1,2012-11-19 23:00,2012-11-20 15:00,1383.40,1384.40,0.87,0.00,Reverse
H1,Short,USD/JPY,3570300,1,2012-11-20 14:00,2012-11-20 23:00,81.6260,81.6980,-0.53,0.00,Reverse
H4,Short,SPX500,3566088,1,2012-11-16 16:00,2012-11-20 23:00,1348.10,1388.40,-35.10,0.00,Reverse
H1,Short,EUR/USD,3570299,1,2012-11-20 13:00,2012-11-21 04:00,1.28011,1.27659,3.52,0.00,Reverse
H1,Short,SPX500,3570401,1,2012-11-20 15:00,2012-11-21 07:00,1384.40,1383.40,0.87,0.00,Reverse
H4,Short,EUR/USD,3569297,1,2012-11-20 03:00,2012-11-21 11:00,1.27886,1.27895,-0.09,0.00,Reverse
H1,Long,USD/JPY,3571202,1,2012-11-20 23:00,2012-11-21 11:00,81.6980,82.2950,4.37,0.00,Reverse
H4,Long,USD/JPY,3566087,1,2012-11-16 16:00,2012-11-21 11:00,81.2600,82.2950,7.58,0.00,Reverse
H1,Long,EUR/USD,3571704,1,2012-11-21 04:00,2012-11-21 12:00,1.27659,1.28076,4.17,0.00,Reverse
H1,Long,SPX500,3572005,1,2012-11-21 07:00,2012-11-21 13:00,1383.40,1388.40,4.36,0.00,Reverse
H1,Short,USD/JPY,3572407,1,2012-11-21 11:00,2012-11-21 18:00,82.2950,82.4580,-1.19,0.00,Reverse
